review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
6916ca4502d6d3bfd39818759d55d536,bfbd0f9bdef84302105ad712db648a6c,1,,nao recebi o produto e nem resposta da empresa,2016-10-06 00:00:00,2016-10-07 18:32:28
5d76a01a07627d6eab445af668ac3aef,67418605ab8f9414a2e238bbcdde1312,5,,"Muito TOP o produto. Lampadas de ótima qualidade, que iluminam muito bem e consomem quase nada.",2016-10-18 00:00:00,2016-12-26 15:24:14
4f0f66126c962e92d1e99fe5d84a772a,fd4b04818375a4ba579a80c8d37f1b24,5,,,2016-10-19 00:00:00,2016-10-19 23:30:43
6a760d6d7c876b76f77353f24d9c14fa,88130f20a472f28fcca9dd5d50358820,5,,"O produto chegou antes do prazo de entrega,em ótimo estado.Estou muito satisfeita com a compra ",2016-10-19 00:00:00,2016-11-04 09:08:50
47810286e081f2855bfb0cc41447e4ad,4eca6c2d172953276c75dd0e1bedce25,5,,"Foi entregue antes do previsto, gerando ainda mais a minha satisfação.
Não tive problema ou dano algum com a entrega.

Recomendo! ",2016-10-20 00:00:00,2016-10-21 12:02:00
14ebbf02445a7002f16ac37eec124a6a,14b01335f19b97fce1437168032ae388,2,,"faltou a almofada cocozinho, na nota consta o produto, mas o produto NÃO foi entregue",2016-10-22 00:00:00,2016-10-22 09:25:13
4fb086c542bb7e4ec510a3463c1657b7,8c78d01de3a9009e23d6877a7cc9be20,3,,"Ainda faltam me entrega um produto ,quando chega eu avilo melhor .",2016-10-22 00:00:00,2016-10-22 20:04:45
c429ba5b6d46f7f5e4b9b080ddb72939,4723d255a158f5b6c5a872264e3529c5,5,,,2016-10-22 00:00:00,2016-10-25 10:31:48
65128c95d2309170ba0cba5492047e06,d2d67121a09535b3a7b6a000e58d8625,3,,Achei um pouco demorado a entrega,2016-10-25 00:00:00,2016-11-12 21:28:56
7386b68489e00081752ae75cf5007c48,cf47ad2fb60cae3f74b943646f685c94,5,,"Totalmente responsáveis, produto entregue, informação dada ao cliente, preocupação com o cliente. Recomendo.",2016-10-25 00:00:00,2016-10-28 08:46:42
2ba0e39ea1f450e280e1dd700eb248e3,3f72d2b757e725cd48a4726f831c7789,3,,,2016-10-26 00:00:00,2016-10-27 23:05:25
fae76806cdb052d20c72da714ae8d89c,b44d71edad65f41824d2e177470ef8f6,4,,"Muito satisfeito com a compra que fiz neste site, tudo ocorreu como combinado. Recomendo.",2016-10-26 00:00:00,2016-10-26 20:43:03
08b5796a634d55da0d1a76ed9a400ec2,5f834cc4ee109c58dff88c60b8ba5ecf,5,,"Entrega em tempo hábil.
Recomendo.",2016-10-27 00:00:00,2016-10-27 19:30:05
8cc8ab89092a5907d2ce5250c63d3437,ca3b8093576a51bea61c9782c7771f62,3,,"Demorou para chegar mas, veio em ordem. Recomendo o vendedor mas , não tem pressa em receber.",2016-10-27 00:00:00,2016-10-31 19:24:28
8ee14babdad4ad45c1188f8a93b58b14,f205336be829af209878b6339cf02c7e,5,,Chegou rápido e o produto é de boa qualidade. Recomendo.,2016-10-28 00:00:00,2016-10-29 00:09:15
f1e5cd1574a6be811fc8e285ab492741,0d9664d8da1dc4337269071b39e19423,5,,Produto chegou antes do prazo determinado pelo site.,2016-10-28 00:00:00,2016-10-31 11:01:33
21b6466c2fc39dee8e793652af06f9e9,985db56d4cabd2577d0960194dd2cd5a,5,,,2016-10-29 00:00:00,2016-10-29 23:50:50
74515ea15719d4a06f557320b824c8b0,98750f114ae6088d04ea0d3cfe3f137f,5,,,2016-10-29 00:00:00,2016-10-31 20:16:28
46e746815b9560ce0b1df90666dca37e,62246c16a32a0866943f17d7b42db940,1,,"O frete é caro e ainda se quiser tem q buscar no correio.Muito ruim.Ainda quer elogios,odiei.",2016-11-01 00:00:00,2016-11-03 23:19:32
d4be1b414b710c5622c4fd8176b4f031,83812118bb682267a9880ea1b261ac4b,4,,"Quase tudo perfeito..
Apesar de entregue no prazo, o prazo dado poderia ser mais curto.",2016-11-01 00:00:00,2016-11-03 06:21:50
d6bf917f19cd51622bf95a1e686a779e,7a7d2c889e27d93b2005462a8788e168,1,,,2016-11-01 00:00:00,2016-11-03 02:12:04
aa507f2fe9aafcedc5b2589d704844a6,10d1e90a86d2be981a52b6a927c97dc5,5,,,2016-11-08 00:00:00,2016-11-16 01:58:07
ffcf259643ebd47312c8a774e3392aec,c3d9e402b6a0fbe2a5f7fc5b41117c38,5,,,2016-11-08 00:00:00,2016-11-09 14:05:17
6808a89093907ba64d560347e1bf94cc,c4b41c36dd589e901f6879f25a74ec1d,5,,,2016-11-10 00:00:00,2016-11-12 23:49:36
a450b65b40eef4bd63aed18e935770b6,7e2dddf174cc4d2768bf39c43ab2bd7a,1,,Meu produto veio com defeitoem uma das peças . Não tem como montar e não estou conseguindo a devolução.,2016-11-11 00:00:00,2016-11-12 09:59:18
517623f52b801129ac4b4c560d70635b,262118ce178bb3e4590a3adcf6d62e6b,1,,Não recebi o produto e até o momento não obtivemos retorno em relação a devolução da fatura e pagamento,2016-11-18 00:00:00,2016-12-19 11:24:05
815e1b04599377590d462178d524b69a,b2f92b2f7047cd8b35580d629d7b3bfb,1,,"Comprei uma Escova na cor DOURADA e mandaram na cor rosa, e ainda colocaram a caixa da escova dentro de outra caixa da Marca Laka toda rasgada, um descaso com o consumidor.",2016-11-18 00:00:00,2016-11-28 12:30:30
cf179e2948d6c43b0258fe110368d8e5,1612081119e8f23745698ad3367cc14b,1,,"Nunca comprem pela targaryen, comprei uma pelúcia e nunca chegou, anunciaram e não tinha o produto em estoque, uma vergonha. Incompetentes!!",2016-11-19 00:00:00,2016-11-21 03:41:03
